year, days over 65, days over 70, days over 75, notes
1942, 19, 9, 4,
1943, 10, 8, 4,
1944, 23, 13, 4,
1945, 14, 8, 5,
1946, 6, 2, 0,
1947, 8, 3, 1,
1948, 11, 2, 0,
1949, 6, 0, 0,
1950, 4, 2, 0,
1951, 6, 4, 3,
1952, 24, 19, 9,
1953, 14, 6, 3,
1954, 15, 4, 0,
1955, 11, 4, 1,
1956, 7, 2, 2,
1957, 6, 2, 0,
1958, 18, 10, 6,
1959, 12, 6, 0,
1960, 12, 9, 3,
1961, 10, 8, 7,
1962, 13, 4, 2,
1963, 13, 7, 0,
1964, 16, 8, 3,
1965, 18, 13, 4,
1966, 12, 6, 3,
1967, 13, 6, 0,
1968, 10, 2, 0,
1969, 7, 3, 0,
1970, 11, 7, 4,
1971, 10, 7, 5,
1972, 16, 12, 4,
1973, 10, 1, 0,
1974, 23, 14, 7,
1975, 5, 1, 1,
1976, 18, 8, 2,
1977, 14, 3, 0,
1978, 22, 12, 7,
1979, 17, 9, 9,
1980, 13, 10, 7,
1981, 8, 3, 0,
1982, 14, 6, 2,
1983, 13, 2, 0,
1984, 9, 6, 3,
1985, 9, 3, 2,
1986, 21, 11, 2,
1987, 28, 16, 8,
1988, 16, 9, 4,
1989, 12, 6, 2,
1990, 11, 2, 0,
1991, 19, 17, 10,
1992, 17, 6, 1,
1993, 23, 9, 5,
1994, 12, 9, 2,
1995, 10, 4, 1,
1996, 9, 9, 4,
1997, 5, 2, 0,
1998, 9, 6, 2,
1999, 15, 11, 4,
2000, 14, 5, 1,
2001, 7, 6, 4,
2002, 13, 6, 4,
2003, 18, 13, 3,
2004, 14, 10, 7,
2005, 11, 2, 0,
2006, 12, 7, 3,
2007, 7, 1, 1,
2008, 8, 3, 0,
2009, 11, 2, 0,
2010, 14, 5, 1,
2011, 8, 1, 0,
2012, 16, 8, 3,

,,,,warm years: 41
,,,,(where warm year = a week above 65 and at least two days above 75)
